Number of Hidden Nodes, Learning Rate, Activation Function, RMSE (1), RMSE (2), RMSE (3), RMSE (Average)
11, 0.05, RELU, 36.77995751282255, 33.83312460328806, 34.09556608338873, 34.90288273316644
11, 0.1, SIGMOID, 34.196709800196444, 34.528556036571715, 34.897407840947075, 34.54089122590508
11, 0.1, TANH, 35.99875499543769, 35.5523715059668, 35.977796476239575, 35.84297432588136
11, 0.1, RELU, 35.86117647619264, 34.00544050658892, 35.16300108310056, 35.009872688627375
11, 0.15, SIGMOID, 33.197776507619174, 35.61052535814759, 33.64380879006163, 34.1507035519428
11, 0.15, TANH, 36.716193600427346, 36.766342314718635, 37.1108137950189, 36.86444990338829
11, 0.15, RELU, 34.02126328792748, 33.72691654421445, 36.331498383797246, 34.69322607197972
11, 0.2, SIGMOID, 34.608163947986455, 33.99549138245007, 35.434405838561375, 34.6793537229993
11, 0.2, TANH, 37.56002435864529, 37.42895484729832, 37.38314528361731, 37.45737482985364
11, 0.2, RELU, 35.665272685525544, 33.80919638942092, 32.16934520767879, 33.88127142754175
11, 0.25, SIGMOID, 34.743778731674794, 34.795533477964504, 34.144414962851585, 34.561242390830294
11, 0.25, TANH, 37.69580762928272, 37.775980648806886, 37.88268687027337, 37.78482504945433
11, 0.25, RELU, 38.63674534726545, 37.776632445185236, 34.91465516387496, 37.109344318775214
11, 0.3, SIGMOID, 34.79128096689513, 34.75431795666701, 34.056207330483396, 34.533935418015176
11, 0.3, TANH, 37.99174686812576, 37.68410043457679, 38.13570606530241, 37.93718445600165
11, 0.3, RELU, 34.19040961124065, 37.548477534816136, 37.70208470823406, 36.48032395143028
11, 0.35, SIGMOID, 35.112168460806544, 32.672707871407894, 34.81999951249668, 34.20162528157037
11, 0.35, TANH, 37.66177943907563, 37.75279749725124, 37.691280358139025, 37.70195243148863
11, 0.35, RELU, 41.53526347789018, 34.34317698351274, 38.68315599196314, 38.18719881778869
11, 0.4, SIGMOID, 34.18247840065135, 34.9271363202251, 34.70326634648921, 34.60429368912188
11, 0.4, TANH, 37.426855148273354, 37.45366569606693, 37.38666913213746, 37.42239665882591
11, 0.4, RELU, 40.761986476719244, 36.42805662566368, 42.60594422604576, 39.93199577614289
11, 0.45, SIGMOID, 33.90800833693698, 34.59927744196707, 35.39689212991631, 34.634725969606784
11, 0.45, TANH, 37.310691131726294, 37.33951139128316, 37.12086549044925, 37.2570226711529
11, 0.45, RELU, 35.358859208480695, 41.867459751293524, 41.54443051481042, 39.59024982486155
11, 0.5, SIGMOID, 35.82538117797028, 35.76232057351555, 35.08264387955677, 35.5567818770142
11, 0.5, TANH, 36.72720465377329, 37.02516693721891, 36.7225579479369, 36.82497651297637
11, 0.5, RELU, 41.83611743970548, 47.920495247867336, 38.687043947113175, 42.814552211561995
12, 0.05, SIGMOID, 52.24769510364344, 52.513193762332904, 51.82768451485202, 52.196191126942786
12, 0.05, TANH, 35.58210886585359, 35.80242195146807, 34.01768720083538, 35.134072672719014
12, 0.05, RELU, 38.10718020222319, 35.85210399772641, 35.8815232291956, 36.613602476381736
12, 0.1, SIGMOID, 34.8390232749562, 33.52992925520827, 33.988783425143644, 34.11924531843604
12, 0.1, TANH, 35.41275682198594, 35.89224474058716, 37.87844789447621, 36.39448315234977
12, 0.1, RELU, 37.78264499624002, 35.81720648565275, 37.48834908451508, 37.02940018880262
12, 0.15, SIGMOID, 34.2199811164278, 35.14808236347183, 35.52109838395679, 34.96305395461881
12, 0.15, TANH, 36.46487156101986, 36.979485838551355, 36.74758880763068, 36.730648735733965
12, 0.15, RELU, 38.826482133759264, 31.919171802275663, 36.07282585630561, 35.60615993078018
12, 0.2, SIGMOID, 33.92386102140293, 33.82520386728237, 35.49856489794127, 34.41587659554219
12, 0.2, TANH, 37.23686875704845, 37.55542923391242, 37.56812868784229, 37.45347555960105
12, 0.2, RELU, 34.596917908842954, 34.910793005913995, 35.40126693565196, 34.96965928346964
12, 0.25, SIGMOID, 35.41727853855194, 33.91048370346426, 35.31519472147306, 34.88098565449642
12, 0.25, TANH, 37.754972608484486, 37.85018113244319, 37.72431079842033, 37.77648817978267
12, 0.25, RELU, 35.341044786594026, 34.63409744896635, 36.88437620107569, 35.619839478878696
